T20I Match No,Match ID,Match Name,Series ID,Series Name,Match Date,Match Format,Team1 ID,Team1 Name,Team1 Captain,Team1 Runs Scored,Team1 Wickets Fell,Team1 Extras Rec,Team2 ID,Team2 Name,Team2 Captain,Team2 Runs Scored,Team2 Wickets Fell,Team2 Extras Rec,Match Venue (Stadium),Match Venue (City),Match Venue (Country),Umpire 1,Umpire 2,Match Referee,Toss Winner,Toss Winner Choice,Match Winner,Match Result Text,MOM Player,Team1 Playing 11,Team2 Playing 11,Debut Players
1,211048,New Zealand Vs Australia Only T20I,238218,Australia tour of New Zealand  - 2005 (2004/05),,T20,2,Australia,2230,214.0,5.0,12.0,5,New Zealand,2121,170.0,10.0,2.0,Eden Park,Auckland,New Zealand,BF Bowden,AL Hill,CH Lloyd,Australia,bat,Australia,Australia won by 44 runs,2230.0,"['4176', '8876', '4382', '2230', '2066', '6259', '6256', '9235', '5966', '2243', '2101']","['10384', '2121', '7410', '9570', '5619', '1939', '9633', '10316', '2128', '10303', '9631']","['4176', '4176', '10316', '4382', '10384', '10384', '5966', '5966', '1939', '1939', '5619', '5619', '2066', '2066', '9631', '9631', '2101', '2101', '9633', '9633', '9235', '2128', '2128', '10303', '10303', '7410', '7410', '8876', '6256', '2243', '2230', '9570', '9570', '6259', '2121']"
2,211028,England Vs Australia Only T20I,238219,Australia tour of England and Scotland  - 2005 (2005),,T20,1,England,4709,179.0,8.0,6.0,2,Australia,2230,79.0,10.0,6.0,The Rose Bowl,Southampton,England,JW Lloyds,NJ Llong,JJ Crowe,England,bat,England,England won by 100 runs,8107.0,"['3865', '34719', '4271', '8107', '4709', '2314', '7023', '4661', '7037', '2160', '7041']","['4176', '2119', '4382', '8876', '6256', '2230', '2066', '5966', '2286', '2243', '2101']","['4271', '7023', '2160', '34719', '2286', '2286', '7037', '8107', '3865', '2119', '2119', '4709', '4709', '2314', '2314', '7041', '4661']"
3,222678,South Africa Vs New Zealand Only T20I,238166,New Zealand tour of South Africa  - 2005 (2005/06),,T20,3,South Africa,10406,133.0,10.0,8.0,5,New Zealand,2121,134.0,5.0,11.0,New Wanderers Stadium,Johannesburg,South Africa,BG Jerling,IL Howell,BC Broad,New Zealand,bowl,New Zealand,New Zealand won by 5 wickets (with 12 balls remaining),11922.0,"['2239', '10406', '2232', '2347', '6335', '3947', '2228', '4086', '9505', '7540', '4073']","['11922', '2121', '2235', '9633', '5619', '9570', '9989', '10384', '10303', '10316', '10280']","['9505', '6343', '4086', '7540', '10406', '2347', '9989', '9989', '2232', '9634', '9634', '11922', '11922', '6335', '4073', '3947', '2235', '2239', '10280', '10280', '2228']"
4,226374,Australia Vs South Africa Only T20I,226335,South Africa tour of Australia  - 2005 (2005/06),,T20,2,Australia,2230,209.0,3.0,15.0,3,South Africa,10406,114.0,10.0,1.0,Brisbane Cricket Ground,Brisbane,Australia,RL Parry,BNJ Oxenford,RG Archer,Australia,bat,Australia,Australia won by 95 runs,2066.0,"['9235', '2066', '2230', '4382', '8876', '6256', '6426', '6259', '7445', '6973', '9432']","['10406', '3978', '2347', '3947', '2228', '2232', '9630', '4013', '10401', '9429', '15625']","['4013', '3978', '6426', '9429', '9630', '10401', '9432', '15625', '7445', '6973', '6973']"
5,237242,New Zealand Vs West Indies Only T20I,237244,West Indies tour of New Zealand  - 2006 (2005/06),,T20,4,West Indies,2120,126.0,7.0,10.0,5,New Zealand,2121,126.0,8.0,10.0,Eden Park,Auckland,New Zealand,BF Bowden,AL Hill,MJ Procter,New Zealand,bowl,,Match tied,45554.0,"['7568', '7406', '10460', '45554', '6401', '2120', '45257', '47111', '10451', '21239', '46591']","['10311', '2121', '2235', '9570', '1939', '35647', '9633', '10384', '9639', '10280', '11922']","['7568', '7406', '7406', '21239', '21239', '47111', '47111', '45257', '45257', '45554', '45554', '10451', '10451', '9639', '46591', '46591', '10311', '35647', '10460', '10460', '2120', '2120', '6401', '6401']"
6,238195,South Africa Vs Australia Only T20I,238137,Australia tour of South Africa  - 2006 (2005/06),,T20,3,South Africa,10406,201.0,4.0,17.0,2,Australia,2230,199.0,7.0,8.0,New Wanderers Stadium,Johannesburg,South Africa,KH Hurter,M Erasmus,BC Broad,South Africa,bat,South Africa,South Africa won by 2 runs,10406.0,"['10406', '7538', '2347', '2228', '4130', '46533', '4060', '4013', '9492', '2352', '4073']","['4176', '6259', '2230', '2066', '8876', '10125', '3328', '5966', '7445', '9432', '6973']","['46533', '3328', '4130', '7538', '4060', '9492', '2352', '10125']"
7,225271,England Vs Sri Lanka Only T20I,224906,Sri Lanka tour of England  - 2006 (2006),2006-06-15,T20,8,Sri Lanka,6315,163.0,10.0,12.0,1,England,7023,161.0,5.0,13.0,The Rose Bowl,Southampton,England,IJ Gould,NJ Llong,CH Lloyd,Sri Lanka,bat,Sri Lanka,Sri Lanka won by 2 runs,1988.0,"['1988', '11334', '6315', '7419', '9587', '5611', '48520', '11374', '45105', '11271', '7989']","['3865', '7023', '8107', '2314', '10647', '34719', '34739', '7233', '45443', '45098', '7041']","['48520', '11271', '7233', '11374', '10647', '9587', '45105', '45443', '6315', '7989', '7989', '5611', '45098', '1988', '7419', '34739', '11334', '11334']"
8,225263,England Vs Pakistan Only T20I,224904,Pakistan tour of England and Scotland  - 2006 (2006),2006-08-28,T20,1,England,7023,144.0,7.0,11.0,7,Pakistan,2034,148.0,5.0,10.0,County Ground,Bristol,England,NJ Llong,PJ Hartley,MJ Procter,England,bat,Pakistan,Pakistan won by 5 wickets (with 13 balls remaining),4169.0,"['3865', '7822', '8107', '7023', '2314', '10647', '8307', '6378', '45098', '2160', '48440']","['8270', '19647', '10439', '4169', '6455', '2034', '4178', '9257', '19820', '5649', '19627']","['4178', '6378', '7822', '2034', '9257', '8307', '19627', '19647', '6455', '19820', '4169', '5649', '8270', '48440', '10439']"
9,264065,Bangladesh Vs Zimbabwe Only T20I,264062,Zimbabwe tour of Bangladesh  - 2006 (2006/07),2006-11-28,T20,25,Bangladesh,47721,166.0,10.0,12.0,9,Zimbabwe,45326,123.0,9.0,5.0,Khulna Divisional Stadium,Khulna,Bangladesh,Enamul Haque,Nadir Shah,RS Madugalle,Zimbabwe,bowl,Bangladesh,Bangladesh won by 43 runs,24672.0,"['48385', '47721', '45558', '48277', '46505', '48384', '47986', '24672', '2200', '45159', '47353']","['45253', '10639', '45252', '10423', '47206', '21364', '6305', '4177', '45326', '47619', '46653']","['45159', '45159', '45558', '45558', '46653', '45253', '47619', '45252', '48384', '48384', '4177', '4177', '10423', '21364', '21364', '24672', '24672', '6305', '6305', '2200', '2200', '47986', '47986', '46505', '46505', '48385', '48385', '45326', '45326', '47206', '47206', '47353', '47353', '47721', '47721', '48277', '48277', '10639']"
10,255954,South Africa Vs India Only T20I,255953,India tour of South Africa  - 2006 (2006/07),2006-12-01,T20,3,South Africa,10406,126.0,9.0,13.0,6,India,7781,127.0,4.0,11.0,New Wanderers Stadium,Johannesburg,South Africa,BG Jerling,IL Howell,BC Broad,South Africa,bat,India,India won by 6 wickets (with 1 ball remaining),8813.0,"['10406', '7538', '2347', '6335', '46533', '9505', '4130', '9492', '7549', '2352', '7540']","['7781', '1934', '7730', '7593', '8813', '15716', '11399', '7139', '7678', '7129', '12020']","['7129', '7129', '8813', '8813', '7730', '7139', '11399', '7593', '7593', '1934', '1934', '12020', '12020', '15716', '15716', '7549', '7781', '7678']"
11,251487,New Zealand Vs Sri Lanka 1St T20I,251042,Sri Lanka tour of New Zealand  - 2006 (2006/07),2006-12-22,T20,5,New Zealand,2121,162.0,8.0,12.0,8,Sri Lanka,6315,62.0,1.0,3.0,Westpac Stadium,Wellington,New Zealand,EA Watkin,AL Hill,J Srinath,New Zealand,bat,Sri Lanka,Sri Lanka won by 18 runs (D/L method),1988.0,"['10384', '2121', '9639', '44930', '2235', '9634', '18948', '10316', '10280', '15357', '11922']","['11334', '1988', '6315', '9587', '1979', '8197', '48520', '11374', '2166', '11271', '2041']","['8197', '2166', '15357', '1979', '2041', '18948', '44930']"
